Spp,Length,Weight,Sex,Year,Month,Age,BCAge,BCLength
CCF,500,,U,2015,May,,,
CCF,500,1209,U,2015,May,,,
CCF,501,1020,U,2015,May,,,
CCF,502,,U,2015,May,,,
CCF,504,,U,2015,May,,,
CCF,506,,U,2015,May,,,
CCF,507,986,U,2015,May,,,
CCF,508,1067,U,2015,May,,,
CCF,508,1204,U,2015,May,,,
CCF,510,1262,U,2015,May,,,
CCF,510,1160,U,2015,May,,,
CCF,511,1238,U,2015,May,,,
CCF,512,,U,2015,May,,,
CCF,513,,U,2015,May,,,
CCF,513,1196,U,2015,May,,,
CCF,513,1102,U,2015,May,,,
CCF,514,1298,U,2015,May,,,
CCF,515,1166,U,2015,May,,,
CCF,515,1265,U,2015,May,,,
CCF,515,1370,U,2015,May,,,
CCF,515,1412,U,2015,May,,,
CCF,515,1115,U,2015,May,,,
CCF,515,,U,2015,May,,,
CCF,515,1220,U,2015,May,,,
CCF,515,1210,U,2015,May,,,
CCF,516,920,U,2015,May,,,
CCF,518,,U,2015,May,,,
CCF,519,,U,2015,May,,,
CCF,519,1266,U,2015,May,,,
CCF,520,,U,2015,May,,,
CCF,522,1154,U,2015,May,,,
CCF,524,1480,U,2015,May,,,
CCF,525,1260,U,2015,May,,,
CCF,526,1200,U,2015,May,,,
CCF,526,1312,U,2015,May,,,
CCF,528,1104,U,2015,May,,,
CCF,529,1274,U,2015,May,,,
CCF,530,,U,2015,May,,,
CCF,531,990,U,2015,May,,,
CCF,532,,U,2015,May,,,
CCF,533,1296,U,2015,May,,,
CCF,534,1386,U,2015,May,,,
CCF,534,1180,U,2015,May,,,
CCF,535,1234,U,2015,May,,,
CCF,535,,U,2015,May,,,
CCF,535,1270,U,2015,May,,,
CCF,537,1392,U,2015,May,,,
CCF,540,1400,U,2015,May,,,
CCF,540,1228,U,2015,May,,,
CCF,540,722,U,2015,May,,,
CCF,542,1492,U,2015,May,,,
CCF,542,1405,U,2015,May,,,
CCF,544,,U,2015,May,,,
CCF,544,,U,2015,May,,,
CCF,546,1752,U,2015,May,,,
CCF,550,,U,2015,May,,,
CCF,550,,U,2015,May,,,
CCF,551,,U,2015,May,,,
CCF,551,1690,U,2015,May,,,
CCF,553,1594,U,2015,May,,,
CCF,560,,U,2015,May,,,
CCF,563,1660,U,2015,May,,,
CCF,568,1420,U,2015,May,,,
CCF,569,996,U,2015,May,,,
CCF,571,,U,2015,May,,,
CCF,590,1620,U,2015,May,,,
CCF,590,,U,2015,May,,,
CCF,594,1922,U,2015,May,,,
CCF,596,217,U,2015,May,,,
CCF,599,,U,2015,May,,,
CCF,600,,U,2015,May,,,
CCF,604,1676,U,2015,May,,,
CCF,611,,U,2015,May,,,
CCF,618,2390,U,2015,May,,,
CCF,618,,U,2015,May,,,
CCF,625,2270,U,2015,May,,,
CCF,630,,U,2015,May,,,
CCF,638,,U,2015,May,,,
CCF,638,,U,2015,May,,,
CCF,640,,U,2015,May,,,
CCF,645,,U,2015,May,,,
CCF,650,,U,2015,May,,,
CCF,660,,U,2015,May,,,
CCF,668,,U,2015,May,,,
CCF,672,,U,2015,May,,,
CCF,674,,U,2015,May,,,
CCF,680,3423,U,2015,May,,,
CCF,680,,U,2015,May,,,
CCF,680,,U,2015,May,,,
CCF,690,3200,U,2015,May,,,
CCF,701,,U,2015,May,,,
CCF,730,4532,U,2015,May,,,
CCF,733,3896,U,2015,May,,,
CCF,,,U,2015,May,,,
CCF,232,136,U,2016,September,1,1,154.7626309
CCF,216,76,U,2016,September,1,1,151.4530738
CCF,238,88,U,2016,September,1,1,124.1866978
CCF,219,70,U,2016,September,1,1,137.179285
CCF,213,88,U,2016,September,1,1,132.5016069
CCF,247,106,U,2016,September,1,1,175.9064623
CCF,216,,U,2016,September,1,1,124.2496898
CCF,228,78,U,2016,September,2,2,121.4748563
CCF,226,104,U,2016,September,2,2,168.0467116
CCF,288,,U,2016,September,2,2,213.248497
CCF,310,204,U,2016,September,2,2,200.5504197
CCF,298,186,U,2016,September,2,2,241.1425533
CCF,269,138,U,2016,September,2,2,198.0898724
CCF,200,70,U,2016,September,2,2,175.2116565
CCF,275,164,U,2016,September,2,2,201.4780924
CCF,294,192,U,2016,September,3,3,239.0083673
CCF,341,308,U,2016,September,3,3,271.7808756
CCF,360,412,U,2016,September,4,4,316.7658711
CCF,358,308,U,2016,September,4,4,302.3520141
CCF,389,400,U,2016,September,4,4,340.268155
CCF,342,280,U,2016,September,4,4,297.8973503
CCF,359,326,U,2016,September,4,4,307.2179451
CCF,354,314,U,2016,September,4,4,306.881
CCF,354,344,U,2016,September,4,4,313.4112501
CCF,343,320,U,2016,September,4,4,302.4154602
CCF,362,306,U,2016,September,5,5,290.6587289
CCF,378,,U,2016,September,5,5,317.8443583
CCF,338,254,U,2016,September,5,5,276.1367038
CCF,365,376,U,2016,September,5,5,319.4913383
CCF,382,426,U,2016,September,5,5,338.599103
CCF,489,472,U,2016,September,5,5,452.0127301
CCF,367,372,U,2016,September,5,5,328.4409557
CCF,380,390,U,2016,September,5,5,347.6776709
CCF,353,304,U,2016,September,5,5,309.791635
CCF,335,276,U,2016,September,5,5,303.6013664
CCF,388,420,U,2016,September,5,5,344.2933423
CCF,394,528,U,2016,September,5,5,335.0857899
CCF,369,,U,2016,September,5,5,326.6426016
CCF,334,292,U,2016,September,5,5,300.4240169
CCF,373,386,U,2016,September,6,6,330.6553025
CCF,416,484,U,2016,September,6,6,382.0836879
CCF,424,500,U,2016,September,6,6,375.829959
CCF,374,,U,2016,September,6,6,337.04042
CCF,395,478,U,2016,September,6,6,366.2636791
CCF,418,550,U,2016,September,6,6,393.7078234
CCF,442,,U,2016,September,6,6,409.6785952
CCF,392,,U,2016,September,6,6,349.6233409
CCF,408,,U,2016,September,6,6,373.7958736
CCF,464,722,U,2016,September,7,7,389.3610116
CCF,408,,U,2016,September,7,7,364.9246413
CCF,416,590,U,2016,September,7,7,390.2877567
CCF,460,778,U,2016,September,7,7,430.5098484
CCF,436,638,U,2016,September,7,7,415.6374326
CCF,399,484,U,2016,September,7,7,375.8755275
CCF,411,492,U,2016,September,7,7,385.001673
CCF,410,476,U,2016,September,7,7,383.8879174
